data/dataset/dataset/Abort query persuasive/1031956961493958657.jpg,is
data/dataset/dataset/Abort query persuasive/10414765265193164817.jpg,is
data/dataset/dataset/Abort query persuasive/1048289435761221632.jpg,is
data/dataset/dataset/Abort query persuasive/1050027978875392001.jpg,is
data/dataset/dataset/Abort query persuasive/1057989971569561600.jpg,is
data/dataset/dataset/Abort query persuasive/1022508159171088384.jpg,is not
data/dataset/dataset/Abort query persuasive/1022558421046976512.jpg,is not
data/dataset/dataset/Abort query persuasive/1029446728267657217.jpg,is not
data/dataset/dataset/Abort query persuasive/1031169359488536578.jpg,is not
data/dataset/dataset/Abort query persuasive/1034086403016192000.jpg,is not
